date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,rtk-ag,pcr,beds,beds_covid,beds_noncrit,admitted_pui,admitted_covid,admitted_total,discharged_pui,discharged_covid,discharged_total,hosp_covid,hosp_pui,hosp_noncovid,beds_icu,beds_icu_rep,beds_icu_total,beds_icu_covid,vent,vent_port,icu_covid,icu_pui,icu_noncovid,vent_covid,vent_pui,vent_noncovid,vent_used,vent_port_used,daily_partial,daily_full,daily_booster,daily_booster2,daily,daily_partial_adol,daily_full_adol,daily_booster_adol,daily_booster2_adol,daily_partial_child,daily_full_child,daily_booster_child,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul,cumul_partial_adol,cumul_full_adol,cumul_booster_adol,cumul_booster2_adol,cumul_partial_child,cumul_full_child,cumul_booster_child,pfizer1,pfizer2,pfizer3,pfizer4,sinovac1,sinovac2,sinovac3,sinovac4,astra1,astra2,astra3,astra4,sinopharm1,sinopharm2,sinopharm3,sinopharm4,cansino,cansino3,cansino4,pending1,pending2,pending3,pending4,checkins,unique_ind,unique_loc,cases_new_increase_tmr
2021-07-01,6988,5,5580,65454,2268,6165,647,176,0,809,379,4843,503,348,461,379,1935,1501,885,522,324,134,45,43219,54811,39694,12022,37776,493,1385,1878,379,1342,1721,7127,989,19635,1052,854,1906,1252,1500,788,1204,7,399,619,7,2,1319,0,183763,86646,0,0,270409,224,34,0,0,5,1,0,6148466,2429925,0,0,8578377,4750,617,0,0,166,104,0,27368,47641,0,0,134968,38983,0,0,21410,15,0,0,0,0,0,0,1,0,0,17,6,0,0,18908211,8101091,671387,0
2021-07-02,6982,3,6278,66085,2198,6190,590,202,0,744,413,5084,524,321,423,413,2070,1500,911,603,343,134,47,40860,55642,39776,12030,37876,432,1384,1816,354,1315,1669,7366,956,19314,1035,853,1888,1223,1502,779,1180,7,402,626,7,5,1314,0,170265,70768,0,0,241033,307,42,0,0,2,0,0,6318731,2500693,0,0,8819410,5057,659,0,0,168,104,0,28251,30141,0,0,119919,40607,0,0,22018,17,0,0,0,0,0,0,0,0,0,77,3,0,0,20441759,8380952,646740,0
2021-07-03,6658,11,5677,66959,1917,5883,590,185,0,793,408,4565,484,326,467,408,1856,1386,782,541,321,121,42,30817,55023,39776,12159,37868,445,1376,1821,416,1282,1698,7509,956,18626,1043,853,1896,1223,1502,779,1163,5,407,642,5,11,1381,0,144843,79443,0,0,224286,214,47,0,0,0,1,0,6463574,2580136,0,0,9043696,5271,706,0,0,168,105,0,25952,38863,0,0,100212,40541,0,0,18629,8,0,0,0,0,0,0,0,0,0,50,31,0,0,16488851,7105297,548689,0
2021-07-04,6045,20,5271,67670,1799,5293,591,161,0,825,383,4212,464,345,480,383,1664,1287,764,497,273,129,62,26064,42657,40090,12225,38160,386,1259,1645,297,1022,1319,7759,989,19011,1054,864,1918,1237,1515,794,1222,8,392,643,8,10,1401,0,135131,80891,0,0,216022,145,50,0,0,2,0,0,6598705,2661027,0,0,9259718,5416,756,0,0,170,105,0,27190,42679,0,0,88945,38158,0,0,18948,6,0,0,0,0,0,0,0,0,0,48,48,0,0,14881701,6633487,452691,1
2021-07-05,6387,26,4532,69448,1947,5552,623,212,0,741,352,4683,439,322,419,352,1862,1436,823,562,297,104,38,44941,41819,40090,12417,38157,391,1244,1635,297,1119,1416,7802,999,19280,1054,867,1921,1240,1514,791,1228,5,398,652,5,7,1410,0,206650,121573,0,0,328223,275,77,0,0,4,0,0,6805355,2782600,0,0,9587941,5691,833,0,0,174,105,0,34641,54156,0,0,150268,66681,0,0,21658,702,0,0,0,0,0,0,0,0,0,83,34,0,0,17892572,7705699,642683,1
2021-07-06,7654,11,4797,72202,2463,6700,736,218,0,937,400,4978,522,403,534,400,2049,1533,825,571,346,133,43,40048,52956,40090,12535,38157,455,1417,1872,318,1162,1480,7971,1010,19444,1054,867,1921,1240,1514,791,1266,7,376,654,7,14,1380,0,217165,139385,0,0,356550,242,84,0,0,4,1,0,7022520,2921985,0,0,9944491,5933,917,0,0,178,106,0,38359,57558,0,0,156988,81692,0,0,21800,22,0,0,0,0,0,0,0,0,0,18,113,0,0,18095935,7780087,652396,0
2021-07-07,7097,26,4863,74345,2106,6155,728,214,0,822,456,5029,479,314,508,456,2001,1504,962,562,309,132,38,42534,59879,40090,12570,38148,433,1406,1839,356,1179,1535,8123,953,19391,1065,865,1930,1268,1508,816,1288,7,361,701,7,45,1450,0,218932,176703,0,0,395635,261,139,0,0,1,1,0,7241452,3098688,0,0,10340126,6194,1056,0,0,179,107,0,39867,63163,0,0,157468,109006,0,0,21565,4391,0,0,0,0,0,0,0,0,0,32,143,0,0,18400422,7865994,661277,1
2021-07-08,8868,10,5802,77276,2704,7544,1030,294,0,870,493,6533,682,367,503,493,2659,2012,1117,745,456,161,65,46348,60158,40090,12671,38148,459,1424,1883,390,1385,1775,8171,986,19248,1065,865,1930,1268,1508,816,1289,5,359,711,5,14,1449,6,230116,160734,0,0,390850,259,152,0,0,0,1,0,7471568,3259422,0,0,10730976,6453,1208,0,0,179,108,0,40567,58884,0,0,167877,98407,0,0,21626,3364,0,0,0,0,0,0,0,0,0,46,79,0,0,18258832,7861018,665133,1
2021-07-09,9180,7,5713,80666,2343,7875,1016,289,0,1078,517,6471,637,420,658,517,2533,2062,1152,724,439,156,42,50294,64077,40090,12746,38142,418,1467,1885,274,1189,1463,8375,970,18839,1071,865,1936,1274,1508,816,1311,12,370,720,12,8,1432,0,220825,129741,0,0,350566,385,104,0,0,0,3,0,7692393,3389163,0,0,11081542,6838,1312,0,0,179,111,0,43486,40921,0,0,155383,85227,0,0,21940,3448,0,0,0,0,0,0,0,0,0,16,145,0,0,18042905,7734690,623039,1
2021-07-10,9353,11,5910,84022,3016,7915,1101,337,0,910,485,6453,651,352,558,485,2656,1934,1114,749,437,164,50,46869,55962,40090,12863,38146,500,1442,1942,335,1299,1634,8379,1018,18051,1044,888,1932,1280,1505,828,1310,9,398,711,10,11,1424,0,219838,116870,0,0,336708,420,132,0,0,3,5,0,7912231,3506033,0,0,11418250,7258,1444,0,0,182,116,0,51628,49693,0,0,149724,63630,0,0,18473,3518,0,0,0,0,0,0,0,0,0,13,29,0,0,16655703,7274107,565680,0
